business|	BIZ 2 Level 2|	Outside Seminar Room 2-2|	N|	N|	on|	N|	on|	on|	N|	4|	2|	2|	0|	Take a left turn into COM2 from the COM2 bus stop and cut across the cafeteria and 2 flights of stairs down.|https://37797ef5d8b1ea5c0a9512e63fab5db927bcbba7.googledrive.com/host/0BxD_AYUAIOTEWG1qNXlSS0dZREE/SR2-2Pic1.jpg|https://37797ef5d8b1ea5c0a9512e63fab5db927bcbba7.googledrive.com/host/0BxD_AYUAIOTEWG1qNXlSS0dZREE/SR2-2Pic2.jpg|https://37797ef5d8b1ea5c0a9512e63fab5db927bcbba7.googledrive.com/host/0BxD_AYUAIOTEWG1qNXlSS0dZREE/SR2-2Pic3.jpg															
business|	BIZ 2 Level 2|	Outside USP Students Lounge|	N|	on|	on|	N|	on|	on|	N|	6|	3|	3|	0|	Take a left turn into COM2 from the COM2 bus stop and cut across the cafeteria and 2 flights of stairs down before walking to the end of the corridor.|	https://b724149d4992f188a52cf1a9b721ea32e228b71d.googledrive.com/host/0BxD_AYUAIOTEVDhfa1d5ME9ZQlE/USP1.jpg|https://b724149d4992f188a52cf1a9b721ea32e228b71d.googledrive.com/host/0BxD_AYUAIOTEVDhfa1d5ME9ZQlE/USP2.jpg|https://b724149d4992f188a52cf1a9b721ea32e228b71d.googledrive.com/host/0BxD_AYUAIOTEVDhfa1d5ME9ZQlE/USP3.jpg													
business|	BIZ 2 Level 3|	Outside Seminar Rooms 3-1 and 3-2|	N|	on|	on|	N|	on|	N|	N|	2|	1|	0|	0|	Take a left turn into COM2 from the COM2 bus stop and cut across the cafeteria and a flight of stair down.|	https://a4fb397a93351815070640ba31f38dedbf541284.googledrive.com/host/0BxD_AYUAIOTEZHdMMUE1UENUQms/SR3-1Pic1.jpg|https://a4fb397a93351815070640ba31f38dedbf541284.googledrive.com/host/0BxD_AYUAIOTEZHdMMUE1UENUQms/SR3-1Pic2.jpg|https://a4fb397a93351815070640ba31f38dedbf541284.googledrive.com/host/0BxD_AYUAIOTEZHdMMUE1UENUQms/SR3-1Pic3.jpg													
business|	BIZ 2 Level 4|	Corridor to Student's Bar|	on|	N|	on|	N|	on|	N|	N|	6|	3|	0|	0|	Take a left turn into COM2 from the COM2 bus stop and cut across the cafeteria.|https://05b531607c18a0d9d1d5591adb091cde0e184276.googledrive.com/host/0BxD_AYUAIOTEbGtycVpKR0I0ekU/bar1.jpg|https://05b531607c18a0d9d1d5591adb091cde0e184276.googledrive.com/host/0BxD_AYUAIOTEbGtycVpKR0I0ekU/bar2.jpg|https://05b531607c18a0d9d1d5591adb091cde0e184276.googledrive.com/host/0BxD_AYUAIOTEbGtycVpKR0I0ekU/bar3.jpg														
computing| COM1 Basement|	Basement Floor|N|N|on|on|on|on|on|120|50|46|0|From the bus-stop outside Computing, walk straight to COM1 and enter the building. Walk straight through the glass doors and down the stairs.|https://0cc02d25649bd883af6526edded920a0014ea1f5.googledrive.com/host/0BxD_AYUAIOTENG9BdkpsMWdCX2s/COM1Basement1.jpg|https://0cc02d25649bd883af6526edded920a0014ea1f5.googledrive.com/host/0BxD_AYUAIOTENG9BdkpsMWdCX2s/COM1Basement2.jpg|https://0cc02d25649bd883af6526edded920a0014ea1f5.googledrive.com/host/0BxD_AYUAIOTENG9BdkpsMWdCX2s/COM1Basement3.jpg
computing| COM1 Level 1| Level 1|N|on|on|on|on|on|on|65|20|38|0|From the bus-stop outside Computing, walk straight to COM1 and enter the building. |https://671f865d8027645ea38fdc557dedaea84185125b.googledrive.com/host/0BxD_AYUAIOTEM3hPaldpZXp1bE0/COM1Level11.jpg|https://671f865d8027645ea38fdc557dedaea84185125b.googledrive.com/host/0BxD_AYUAIOTEM3hPaldpZXp1bE0/COM1Level12.jpg|https://671f865d8027645ea38fdc557dedaea84185125b.googledrive.com/host/0BxD_AYUAIOTEM3hPaldpZXp1bE0/COM1Level13.jpg
computing| COM1 Level 2| Exterior|N|on|on|N|on|on|N|40|10|36|0|From the bus-stop outside Computing, walk straight to COM1 and enter the building. Turn left and climb the stairs. Enter through the glass doors, walk straight and turn left, then finally exit through the glass doors.|https://a18fc7b17bce0a8d477bceff63ecc7c404b3b3c0.googledrive.com/host/0BxD_AYUAIOTEWDJJSVhZcGpFS00/COM1Level2E1.jpg|https://a18fc7b17bce0a8d477bceff63ecc7c404b3b3c0.googledrive.com/host/0BxD_AYUAIOTEWDJJSVhZcGpFS00/COM1Level2E2.jpg|https://a18fc7b17bce0a8d477bceff63ecc7c404b3b3c0.googledrive.com/host/0BxD_AYUAIOTEWDJJSVhZcGpFS00/COM1Level2E3.jpg
computing| COM1 Level 2| Interior|N|on|on|N|on|on|on|80|18|28|0|From the bus-stop outside Computing, walk straight to COM1 and enter the building. Turn left and climb the stairs. Enter through the glass doors.|https://4d51a40558822a2a57dee17728323625f1162195.googledrive.com/host/0BxD_AYUAIOTEYkdxeEhnUEJxVnM/COM1Level21.jpg|https://4d51a40558822a2a57dee17728323625f1162195.googledrive.com/host/0BxD_AYUAIOTEYkdxeEhnUEJxVnM/COM1Level22.jpg|https://4d51a40558822a2a57dee17728323625f1162195.googledrive.com/host/0BxD_AYUAIOTEYkdxeEhnUEJxVnM/COM1Level23.jpg 																	
computing|	COM2 Level 1|	Corridor between LT16 to LT17|	on|	on|	on|	N|	on|	on|	N|	21|	9|	19|	0|	Take a left turn into COM2 from the COM2 bus stop and walk along the right corridor|	https://abc897438f7ac3c79f7e797cb3e617efaddd6260.googledrive.com/host/0BxD_AYUAIOTEMFUyZEhXRVB1YTQ/Corridor1.jpg|https://abc897438f7ac3c79f7e797cb3e617efaddd6260.googledrive.com/host/0BxD_AYUAIOTEMFUyZEhXRVB1YTQ/Corridor2.jpg|https://abc897438f7ac3c79f7e797cb3e617efaddd6260.googledrive.com/host/0BxD_AYUAIOTEMFUyZEhXRVB1YTQ/Corridor3.jpg													
computing|	COM2 Level 1|	IS Research Labs to LT16|	on|	on|	on|	N|	on|	on|	N|	14|	5|	16|	0|	Take a left turn into COM2 from the COM2 bus stop and walk along the right corridor|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg														
computing|	COM2 Level 1|	LT19 Corridor|	on|	N|	on|	N|	on|	on|	N|	40|	20|	12|	0|	Take a left turn into COM2 from the COM2 bus stop and walk along the right corridor|https://7108e0f7416d75195dd1cdcbdd2e470222c56ced.googledrive.com/host/0BxD_AYUAIOTESUhWRlhwdVIwc1U/LT19Corridor1.jpg|https://7108e0f7416d75195dd1cdcbdd2e470222c56ced.googledrive.com/host/0BxD_AYUAIOTESUhWRlhwdVIwc1U/LT19Corridor2.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg														
design and environment|	SDE1 Level 2|	Main Corridor|	N|	N|	on|	N|	on|	on|	N|	22|	11|	4|	0|	Take the main stairs.|	https://226db40209a15f7f37d1b9c498c0a6c38cab0f8e.googledrive.com/host/0BxD_AYUAIOTEZFBlYnpMM0lKZkk/SDE1Level%202MainCorridorPic1.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
design and environment|	SDE1 Level 2|	Outdoor Area|	N|	on|	on|	N|	on|	N|	N|	11|	5|	0|	0|	Take the main stairs.|	https://262451c567b6e0cb9374dfb4b83dc9972c745bd2.googledrive.com/host/0BxD_AYUAIOTEVFVQekdGbGVDZUk/SDE1%20Level%202%20Outdoor%20-%20Pic1.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
design and environment|	SDE1 Level 2|	Outside SR14 & SR15|	N|	on|	on|	N|	on|	N|	N|	4|	2|	0|	0|	Take the main stairs and turn left.|	https://66d660dab9dc0ad7831c77daabee96f2d250d712.googledrive.com/host/0BxD_AYUAIOTEc3Z6dXZDYmpQVFE/Outside%20SR14%20_%20SR15%20-%20Pic1.jpg|https://66d660dab9dc0ad7831c77daabee96f2d250d712.googledrive.com/host/0BxD_AYUAIOTEc3Z6dXZDYmpQVFE/Outside%20SR14%20_%20SR15%20-%20Pic2.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
medicine|	MD6 Level 1|	Entrance to MD6|	N|	N|	on|	on|	on|	on|	N|	24|	6|	8|	0|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway, make a right turn and walk straight down pass Starbucks into YYLSOM glass doors.|	https://3450c4bb3626a52adcbe512a016ed958a529fc2f.googledrive.com/host/0BxD_AYUAIOTERVlONm96cjhSY1E/MD6Entrance1.jpg|https://3450c4bb3626a52adcbe512a016ed958a529fc2f.googledrive.com/host/0BxD_AYUAIOTERVlONm96cjhSY1E/MD6Entrance2.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg													
medicine|	MD6 Level 1|	MD6 near Just Acia|	on|	N|	on|	on|	on|	on|	N|	27|	6|	4|	0|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway, make a right turn and walk straight down pass Starbucks into YYLSOM.|	https://94b5dfb4f2e79d37b7997b4c03abd7e9cd7ea56c.googledrive.com/host/0BxD_AYUAIOTEdVV3TTZjUnQyVXM/MD6Near1.jpg|https://94b5dfb4f2e79d37b7997b4c03abd7e9cd7ea56c.googledrive.com/host/0BxD_AYUAIOTEdVV3TTZjUnQyVXM/MD6Near2.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
medicine|	MD7 Level 2|	Corridor to MD7|	on|	N|	on|	N|	on|	N|	N|	12|	6|	0|	0|	Take a left turn from the LT28 bus stop and walk through the science cafeteria, up the stairs towards Subway, make a right turn and walk straight down before Starbucks.|https://3de6331815d96e396ca99891bad7886a9e4a52e2.googledrive.com/host/0BxD_AYUAIOTENG5SaldMMjJRZnM/MD7Pic1.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg													
music|	YSTCM Level 1|	Outdoor Area|	on|	on|	on|	N|	N|	N|	N|	3|	0|	0|	0|	Walk towards YSTCM building.|	https://c296fb65a9589d0881041c9aedbd25e712d5876f.googledrive.com/host/0BxD_AYUAIOTEZGRGRTRMa0Ywckk/YSTCM%20L1%20Outdoor%20-%20Pic1.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg|https://8ef423554ba384546b7397ea12ad1f7a9a80a552.googledrive.com/host/0BxD_AYUAIOTET2JOdVVfMEhRMVU/NoImage.jpg												
